TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE
LaborStatisticsDB,dbo,datatype,data_type_code,tinyint
LaborStatisticsDB,dbo,datatype,data_type_text,nvarchar
LaborStatisticsDB,dbo,seasonal,industry_code,nvarchar
LaborStatisticsDB,dbo,seasonal,seasonal_text,nvarchar
LaborStatisticsDB,dbo,supersector,supersector_code,tinyint
LaborStatisticsDB,dbo,supersector,supersector_name,nvarchar
LaborStatisticsDB,dbo,footnote,footnote_code,nvarchar
LaborStatisticsDB,dbo,footnote,footnote_text,nvarchar
LaborStatisticsDB,dbo,january_2017,id,bigint
LaborStatisticsDB,dbo,january_2017,series_id,nvarchar
LaborStatisticsDB,dbo,january_2017,year,smallint
LaborStatisticsDB,dbo,january_2017,period,nvarchar
LaborStatisticsDB,dbo,january_2017,value,float
LaborStatisticsDB,dbo,january_2017,footnote_codes,nvarchar
LaborStatisticsDB,dbo,january_2017,original_file,nvarchar
LaborStatisticsDB,dbo,annual_2016,id,smallint
LaborStatisticsDB,dbo,annual_2016,series_id,nvarchar
LaborStatisticsDB,dbo,annual_2016,year,smallint
LaborStatisticsDB,dbo,annual_2016,period,nvarchar
LaborStatisticsDB,dbo,annual_2016,value,float
LaborStatisticsDB,dbo,annual_2016,footnote_codes,nvarchar
LaborStatisticsDB,dbo,annual_2016,original_file,nvarchar
LaborStatisticsDB,dbo,series,series_id,nvarchar
LaborStatisticsDB,dbo,series,supersector_code,bigint
LaborStatisticsDB,dbo,series,industry_code,nvarchar
LaborStatisticsDB,dbo,series,data_type_code,bigint
LaborStatisticsDB,dbo,series,seasonal,nvarchar
LaborStatisticsDB,dbo,series,series_title,nvarchar
LaborStatisticsDB,dbo,period,period_code,nvarchar
LaborStatisticsDB,dbo,period,month_abbr,nvarchar
LaborStatisticsDB,dbo,period,month,nvarchar
LaborStatisticsDB,dbo,industry,id,smallint
LaborStatisticsDB,dbo,industry,industry_code,bigint
LaborStatisticsDB,dbo,industry,naics_code,nvarchar
LaborStatisticsDB,dbo,industry,publishing_status,nvarchar
LaborStatisticsDB,dbo,industry,industry_name,nvarchar
LaborStatisticsDB,dbo,industry,display_level,float
LaborStatisticsDB,dbo,industry,selectable,nvarchar
LaborStatisticsDB,dbo,industry,sort_sequence,float
